"course","course_status","chapter","lesson","lesson_type","lesson_status","system_exercise_count","system_exercises","pdf_count","pdf_files","context_present","context_characters","content_pages","other_files","has_any_content","lesson_id"
"הכנה לכיתה ז","מפורסם","Orphaned lessons","חוקיות","תרגול","מפורסם","0","","1","הכנה-כיתה-ז23-חוקיות-aCY2Of6cpwODg7x5MF14Z8rNVmTuDX.pdf","no","0","","","yes","33533465125c8fe97d4b37d1"
"כיתה יב  - 3 יח""ל - 372","מפורסם","בגרויות","חורף 2026","בחינה","מפורסם","0","","1","3 unit - 372 - 2026 - winter  - test-8OgqPPtBvKPPkVvs3Om19wYsXxqowo.pdf","yes","19749","","","yes","69beb09371c57f08a94e7542"
"כיתה ח' - בסיס","מפורסם","גיאומטריה","חפיפת משולשים","תרגול","מפורסם","0","","1","כיתה ח - יחידה 15 - חפיפת משולשים.pdf","yes","10366","","","yes","69ccf03467f63a55bdd1b234"
"כיתה ט - בסיס","מפורסם","גיאומטריה","חפיפת משולשים","תרגול","מפורסם","0","","1","כיתה ח - יחידה 15 - חפיפת משולשים.docx.pdf","no","0","","","yes","69f25cf3d8bece8c7150e6d7"
"כיתה ט - בסיס","מפורסם","גיאומטריה","חפיפת משולשים","לימוד","מפורסם","0","","0","","no","0","","","no","69f45ec075de1b1b345dbe33"
"כיתה ח' - מתקדם","מפורסם","גיאומטירה","חפיפת משולשים","לימוד","מפורסם","0","","1","קטעים מיוחדים במשולש-FovzrniRVRBGKyS1wbjPUcZgERI4C5.pdf","yes","22119","","","yes","69f472ed858f1030e0d9e250"
"כיתה י - 4 יח""ל","מפורסם","","חציון","לימוד","מפורסם","5","ממוצע; ממוצע; ממוצע; ממוצע; ממוצע","0","","no","0","","","yes","69ccf2c1199baaba55216f7f"
"כיתה יב - 4 יח""ל - 472","מפורסם","חשבון דיפרנצאלי ואינטרגלי","חקירה - פונקציה  a^x","תרגול","מפורסם","0","","0","","no","0","","","no","69f58a979ac80f7ba1d981ba"
"כיתה יב - 4 יח""ל - 472","מפורסם","חשבון דיפרנצאלי ואינטרגלי","חקירה - פונקציה לוגרתמית - ln","תרגול","מפורסם","0","","0","","no","0","","","no","69f58ab3281ca1d9409c61b4"
"כיתה יב - 4 יח""ל - 472","מפורסם","חשבון דיפרנצאלי ואינטרגלי","חקירה - פונקציה לוגרתמית - log","תרגול","מפורסם","0","","0","","no","0","","","no","69f58ad385f66461b5dff4e8"
